time;inflow;outflow;outflow_wb
185;0.109247616;0.0628841664;0.0700464672
186;0.126158688;0.0615931776;0.0721479744
187;0.125793216;0.0604180512;0.0691926624
188;0.125428608;0.0592428384;0.0662374368
189;0.125064;0.0580676256;0.0632821248
190;0.134860896;0.05886432;0.0656703072
191;0.144657792;0.059660928;0.0680584896
192;0.154454688;0.0604576224;0.070446672
193;0.141883488;0.0610808256;0.0756501984
194;0.129312288;0.0617040288;0.0808536384
195;0.116741088;0.062327232;0.0860570784
196;0.107486784;0.0622928448;0.0874368
197;0.098231616;0.0622584576;0.088816608
198;0.088977312;0.0622240704;0.090196416
199;0.092419488;0.0617981184;0.091158048
200;0.0958608;0.06137208;0.09211968
201;0.099302112;0.0609460416;0.093082176
202;0.112391712;0.060818256;0.096961536
203;0.125481312;0.0606905568;0.100840896
204;0.138570912;0.0605627712;0.104720256
205;0.131611392;0.0606338784;0.106684992
206;0.124651008;0.0607049856;0.108649728
207;0.117691488;0.0607760064;0.110614464
208;0.113351616;0.0610186176;0.110525472
209;0.109012608;0.0612611424;0.110435616
210;0.1046736;0.0615036672;0.110346624
211;0.115871904;0.061290432;0.118576224
212;0.127070208;0.0610772832;0.126805824
213;0.138268512;0.060864048;0.135035424
214;0.137769984;0.0616578048;0.13996368
215;0.137270592;0.0624515616;0.144891936
216;0.1367712;0.063245232;0.149819328
217;0.139713984;0.063939888;0.14652144
218;0.142655904;0.0646344576;0.143223552
219;0.145598688;0.0653290272;0.139925664
220;0.130987584;0.0650256768;0.12750912
221;0.116375616;0.0647223264;0.115092576
222;0.101764512;0.064418976;0.102676032
223;0.109929312;0.0643349088;0.097379712
224;0.118094112;0.0642508416;0.092083392
225;0.126258912;0.0641667744;0.086787072
226;0.126153504;0.06381288;0.0847984032
227;0.126048096;0.0634588992;0.082809648
228;0.125942688;0.0631050048;0.0808208928
229;0.121675392;0.0631460448;0.0791768736
230;0.117408096;0.0631869984;0.077532768
231;0.1131408;0.0632280384;0.0758887488
232;0.104721984;0.0635223168;0.079186464
233;0.096302304;0.0638165088;0.0824840928
234;0.087883488;0.0641107008;0.085781808
235;0.089443008;0.0636781824;0.084284928
236;0.091003392;0.0632455776;0.0827879616
237;0.092562912;0.0628129728;0.0812910816
238;0.096201216;0.06225336;0.0799130016
239;0.099840384;0.0616936608;0.0785349216
240;0.103478688;0.061134048;0.077156928
241;0.097607808;0.060298128;0.077688288
242;0.091737792;0.0594622944;0.078219648
243;0.0858671712;0.0586263744;0.0787510944
244;0.088713792;0.0584426016;0.0769861152
245;0.091559808;0.0582588288;0.0752212224
246;0.094406688;0.058075056;0.0734563296
247;0.105676704;0.0576926496;0.0731750976
248;0.116947584;0.0573102432;0.0728938656
249;0.1282176;0.0569277504;0.0726126336
250;0.135633312;0.0572016384;0.0729580608
251;0.143049888;0.05747544;0.0733035744
252;0.1504656;0.057749328;0.0736490016
253;0.157987584;0.0584883072;0.0714594528
254;0.165508704;0.0592273728;0.0692698176
255;0.173030688;0.059966352;0.0670802688
256;0.178828992;0.0599491584;0.0730435968
257;0.184627296;0.0599320512;0.0790070112
258;0.1904256;0.0599148576;0.0849704256
259;0.198402912;0.0594433728;0.091960704
260;0.206381088;0.0589718016;0.098951328
261;0.2143584;0.0585003168;0.105941952
262;0.198177408;0.058259952;0.10062144
263;0.181996416;0.0580195008;0.095300928
264;0.165816288;0.057779136;0.089980416
265;0.184775904;0.0581177376;0.0855225216
266;0.203736384;0.0584563392;0.0810651456
267;0.222696;0.0587950272;0.0766076832
268;0.197966592;0.0593607744;0.0791418816
269;0.173237184;0.0599265216;0.08167608
270;0.148506912;0.0604922688;0.0842102784
271;0.145593504;0.060817392;0.0854299872
272;0.142680096;0.0611425152;0.086649696
273;0.139766688;0.0614677248;0.087869664
274;0.130622112;0.0612995904;0.088828704
275;0.1214784;0.0611315424;0.089787744
276;0.112334688;0.0609634944;0.090746784
277;0.1080864;0.0607303008;0.0852372288
278;0.103838112;0.0604970208;0.0797276736
279;0.099590688;0.0602638272;0.0742181184
280;0.133497504;0.060581088;0.0731895264
281;0.167405184;0.0608982624;0.0721609344
282;0.201312;0.0612154368;0.0711323424
283;0.180474912;0.0609365376;0.065830752
284;0.159638688;0.0606576384;0.0605291616
285;0.1388016;0.0603787392;0.0552275712
286;0.139564512;0.06021216;0.060689088
287;0.140328288;0.0600455808;0.0661506048
288;0.1410912;0.0598790016;0.0716121216
289;0.139982688;0.0597010176;0.0791590752
290;0.138873312;0.0595230336;0.086705856
291;0.1377648;0.0593450496;0.094252896
292;0.135134784;0.0592279776;0.094536288
293;0.132503904;0.059110992;0.09481968
294;0.129873888;0.0589940064;0.095103936
295;0.2064096;0.0591452064;0.094826592
296;0.282945312;0.0592964064;0.094550112
297;0.359481888;0.0594476928;0.094272768
298;0.302798304;0.0597793824;0.096444
299;0.246115584;0.060111072;0.098616096
300;0.189432;0.0604426752;0.100787328
301;0.193612896;0.06064416;0.100905696
302;0.197793792;0.0608456448;0.101024928
303;0.201974688;0.0610471296;0.10114416
304;0.1896048;0.0611350848;0.096017184
305;0.177234912;0.06122304;0.090890208
306;0.164865888;0.0613110816;0.085763232
307;0.153374688;0.0614968416;0.086851872
308;0.141883488;0.0616826016;0.087940512
309;0.130392288;0.061868448;0.089029152
310;0.1310256;0.0619837056;0.092356416
311;0.131658912;0.0620990496;0.095682816
312;0.132293088;0.0622143072;0.09901008
313;0.124252704;0.062134992;0.099703872
314;0.116213184;0.0620556768;0.100397664
315;0.1081728;0.0619763616;0.10109232
316;0.107543808;0.0617681376;0.102860064
317;0.106914816;0.0615598272;0.104627808
318;0.106286688;0.0613516032;0.106395552
319;0.118300608;0.0607861152;0.102476448
320;0.130315392;0.0602206272;0.098558208
321;0.142329312;0.0596551392;0.094639104
322;0.151137792;0.0594696384;0.0862069824
323;0.159945408;0.0592841376;0.0777745152
324;0.168753888;0.0590986368;0.0693419616
325;0.171513504;0.0589928832;0.0694952352
326;0.174273984;0.058887216;0.0696485952
327;0.1770336;0.0587814624;0.0698018688
328;0.166569696;0.0594015552;0.07073136
329;0.156105792;0.0600215616;0.0716607648
330;0.145641888;0.0606416544;0.072590256
331;0.1538352;0.0610447104;0.0753437376
332;0.162028512;0.06144768;0.0780972192
333;0.170222688;0.061850736;0.0808506144
334;0.2187216;0.061620048;0.087008256
335;0.267220512;0.0613892736;0.093166848
