time;inflow;outflow;outflow_wb
72;0.30756672;0.064190016;0.228703392
73;0.27537408;0.063708768;0.209106144
74;0.269717472;0.0638142624;0.20408544
75;0.264061728;0.0639198432;0.199064736
76;0.25840512;0.064025424;0.194044032
77;0.269435808;0.063868608;0.201093408
78;0.280465632;0.0637117056;0.20814192
79;0.29149632;0.0635548896;0.215190432
80;0.398107872;0.064147248;0.243718848
81;0.504720288;0.0647396064;0.2722464
82;0.61133184;0.0653319648;0.300773952
83;0.576190368;0.0659864448;0.32079888
84;0.541048032;0.0666409248;0.340823808
85;0.50590656;0.0672954912;0.360848736
86;0.521919072;0.0676202688;0.372614688
87;0.537932448;0.0679451328;0.384379776
88;0.55394496;0.0682699968;0.396145728
89;0.534896352;0.0684205056;0.412582464
90;0.515848608;0.0685711008;0.429018336
91;0.4968;0.0687216096;0.445454208
92;0.552902112;0.0690097536;0.4540968
93;0.609005088;0.0692978112;0.462738528
94;0.6651072;0.0695859552;0.471380256
95;0.593544672;0.0701932608;0.46255536
96;0.521983008;0.0708005664;0.453731328
97;0.45042048;0.071407872;0.444906432
98;0.42173568;0.071273088;0.434940192
99;0.39305088;0.071138304;0.424974816
100;0.36436608;0.07100352;0.415008576
101;0.463426272;0.0706866048;0.432426816
102;0.562487328;0.070369776;0.449844192
103;0.66154752;0.0700529472;0.467262432
104;0.63379584;0.0705465504;0.479125152
105;0.60604416;0.07104024;0.490988736
106;0.57829248;0.0715338432;0.50285232
107;0.607852512;0.071540496;0.51327648
108;0.637413408;0.0715470624;0.52370064
109;0.66697344;0.0715537152;0.5341248
110;0.60735744;0.0704022624;0.513947808
111;0.54774144;0.0692508096;0.493770816
112;0.48812544;0.0680993568;0.473593824
113;0.444205728;0.0673131168;0.428350464
114;0.400285152;0.0665269632;0.383107968
115;0.35636544;0.0657408096;0.337864608
116;0.345156768;0.0657370944;0.320717664
117;0.333947232;0.0657334656;0.303569856
118;0.32273856;0.0657297504;0.286422912
119;0.314087328;0.0651956256;0.280080288
120;0.305435232;0.0646614144;0.273738528
121;0.296784;0.0641272032;0.267395904
122;0.267431328;0.0640693152;0.241618464
123;0.238077792;0.0640114272;0.215841888
124;0.20872512;0.0639535392;0.190064448
125;0.195252768;0.0639713376;0.172889856
126;0.181779552;0.0639890496;0.155715264
127;0.1683072;0.0640067616;0.138540672
128;0.181999008;0.064323936;0.150411168
129;0.195689952;0.0646411968;0.162282528
130;0.20938176;0.0649583712;0.174153888
131;0.20378304;0.0651500928;0.189338688
132;0.19818432;0.065341728;0.204523488
133;0.1925856;0.0655334496;0.219709152
134;0.22431168;0.0659796192;0.224093952
135;0.25603776;0.0664258752;0.228479616
136;0.28776384;0.0668720448;0.23286528
137;0.278132832;0.067129344;0.222224256
